trip_date,payment_type,company,total_trips,total_revenue,total_tips,total_fare
2025-12-04,Mobile,5 Star Taxi,585,10721.92,983.62,9210.30
2025-12-04,Mobile,Blue Ribbon Taxi Association,569,8715.80,656.83,7728.47
2025-12-04,Mobile,Chicago Independents,997,17582.23,1417.80,15385.43
2025-12-04,Mobile,Chicago Taxicab,7,178.68,13.20,157.48
2025-12-04,Mobile,Choice Taxi Association Inc,186,3187.70,227.63,2854.07
2025-12-04,Mobile,City Service,1350,24141.32,1877.00,21197.27
2025-12-04,Mobile,Flash Cab,1735,29104.22,2307.41,25578.19
2025-12-04,Mobile,Globe Taxi,428,7905.96,706.94,6856.07
2025-12-04,Mobile,Koam Taxi Association,19,396.66,33.93,349.23
2025-12-04,Mobile,Medallion Leasin,287,4651.58,356.31,4117.77
2025-12-04,Mobile,Setare Inc,3,135.62,25.37,73.75
2025-12-04,Mobile,Star North Taxi Management Llc,6,64.66,4.81,56.85
2025-12-04,Mobile,Sun Taxi,1468,27506.72,2412.21,23866.00
2025-12-04,Mobile,Tac - American United Dispatch,19,353.12,53.90,289.72
2025-12-04,Mobile,Tac - Blue Diamond Dispatch,13,227.24,37.71,183.03
2025-12-04,Mobile,Tac - Checker Cab Dispatch,64,1234.47,208.64,993.83
2025-12-04,Mobile,Tac - Yellow Cab Association,633,10282.19,1752.25,8213.44
2025-12-04,Mobile,Tac - Yellow Non Color,4,60.58,13.36,45.22
2025-12-04,Mobile,Taxicab Insurance Agency Llc,1724,31169.93,2781.51,26898.97
2025-12-04,Mobile,Top Cab,30,546.22,50.52,480.70
2025-12-04,Mobile,Wolley Taxi,82,1181.05,100.50,1026.55
2025-12-04,No Charge,Transit Administrative Center Inc,60,1850.75,0.00,1563.75
2025-12-04,Prcard,5 Star Taxi,119,3125.36,24.36,3085.00
2025-12-04,Prcard,Blue Ribbon Taxi Association,67,1909.50,2.00,1907.50
2025-12-04,Prcard,Chicago Independents,35,561.25,0.00,558.25
2025-12-04,Prcard,City Service,108,2760.88,26.38,2729.50
2025-12-04,Prcard,Flash Cab,891,21512.73,55.73,21418.00
2025-12-04,Prcard,Globe Taxi,19,473.88,7.88,466.00
2025-12-04,Prcard,Koam Taxi Association,2,44.00,0.00,44.00
2025-12-04,Prcard,Medallion Leasin,14,258.00,0.00,256.00
2025-12-04,Prcard,Sun Taxi,60,1092.86,7.36,1085.50
2025-12-04,Prcard,Tac - Yellow Cab Association,2,41.50,0.00,41.50
2025-12-04,Prcard,Taxicab Insurance Agency Llc,91,1659.62,3.12,1647.50
2025-12-04,Prcard,Wolley Taxi,8,122.25,0.00,122.25
2025-12-04,Unknown,3556 - 36214 RC Andrews Cab,7,115.25,0.00,115.25
2025-12-04,Unknown,5167 - 71969 5167 Taxi Inc,1,31.50,0.00,31.50
2025-12-04,Unknown,Chicago City Taxi Association,1,27.25,0.00,27.25
2025-12-04,Unknown,Choice Taxi Association Inc,16,396.50,0.00,386.50
2025-12-04,Unknown,Taxicab Insurance Agency  LLC,2,43.50,0.00,42.50
2025-12-04,Unknown,Transit Administrative Center Inc,426,10218.75,0.00,10140.75
2025-12-05,Cash,2733 - 74600 Benny Jona,1,47.75,0.00,42.75
2025-12-05,Cash,312 Medallion Management Corp,6,56.00,0.00,55.00
2025-12-05,Cash,3556 - 36214 RC Andrews Cab,1,30.00,0.00,30.00
2025-12-05,Cash,4053 - 40193 Adwar H. Nikola,1,8.00,0.00,8.00
2025-12-05,Cash,4623 - 27290 Jay Kim,2,46.25,0.00,42.25
2025-12-05,Cash,5 Star Taxi,220,5293.73,0.00,4692.42
2025-12-05,Cash,5167 - 71969 5167 Taxi Inc,3,60.50,0.00,56.50
2025-12-05,Cash,Blue Ribbon Taxi Association,172,2394.50,0.00,2246.25
2025-12-05,Cash,Chicago City Taxi Association,64,959.75,0.00,908.75
2025-12-05,Cash,Chicago Independents,273,4817.05,0.00,4311.75
2025-12-05,Cash,Chicago Taxicab,8,161.75,0.00,147.25
2025-12-05,Cash,Choice Taxi Association Inc,126,1563.72,0.00,1348.97
2025-12-05,Cash,City Service,398,5848.65,0.00,5237.45
2025-12-05,Cash,Flash Cab,1358,37453.14,0.00,36730.09
2025-12-05,Cash,Globe Taxi,126,1926.85,0.00,1708.05
2025-12-05,Cash,Koam Taxi Association,9,66.75,0.00,64.75
2025-12-05,Cash,Medallion Leasin,116,1560.01,0.00,1346.76
2025-12-05,Cash,Patriot Taxi Dba Peace Taxi Associat,6,68.75,0.00,68.75
2025-12-05,Cash,Setare Inc,9,108.25,0.00,99.25
2025-12-05,Cash,Sun Taxi,427,6104.75,0.00,5608.00
2025-12-05,Cash,Tac - American United Dispatch,26,356.25,0.00,356.25
2025-12-05,Cash,Tac - Blue Diamond Dispatch,4,53.75,0.00,53.75
2025-12-05,Cash,Tac - Checker Cab Dispatch,23,236.00,0.00,236.00
2025-12-05,Cash,Tac - Yellow Cab Association,280,6456.44,0.00,6440.94
2025-12-05,Cash,Tac - Yellow Non Color,12,171.75,0.00,171.75
2025-12-05,Cash,Taxicab Insurance Agency  LLC,113,1489.15,0.00,1421.65
2025-12-05,Cash,Taxicab Insurance Agency Llc,578,8644.26,0.00,7876.82
2025-12-05,Cash,Top Cab,20,473.90,0.00,416.50
2025-12-05,Cash,Transit Administrative Center Inc,1082,17672.14,0.00,15986.26
2025-12-05,Cash,U Taxicab,12,159.50,0.00,149.00
2025-12-05,Cash,Wolley Taxi,29,395.75,0.00,364.50
2025-12-05,Credit Card,2733 - 74600 Benny Jona,3,130.90,21.90,98.00
2025-12-05,Credit Card,312 Medallion Management Corp,25,757.50,139.00,563.00
2025-12-05,Credit Card,4053 - 40193 Adwar H. Nikola,3,166.00,27.00,125.00
2025-12-05,Credit Card,4623 - 27290 Jay Kim,1,59.20,9.95,45.25
2025-12-05,Credit Card,5 Star Taxi,318,14080.32,2130.28,10277.35
2025-12-05,Credit Card,5167 - 71969 5167 Taxi Inc,2,40.35,7.35,29.00
2025-12-05,Credit Card,Blue Ribbon Taxi Association,199,5740.60,939.10,4174.50
2025-12-05,Credit Card,Chicago City Taxi Association,69,2286.95,389.95,1672.00
2025-12-05,Credit Card,Chicago Independents,508,21322.38,3414.98,15463.50
2025-12-05,Credit Card,Chicago Taxicab,13,548.29,61.29,365.00
2025-12-05,Credit Card,Choice Taxi Association Inc,242,8380.81,1382.55,6290.48
2025-12-05,Credit Card,City Service,657,25497.76,4184.40,18405.75
2025-12-05,Credit Card,Flash Cab,668,20890.86,3429.61,15276.35
2025-12-05,Credit Card,Globe Taxi,231,9838.07,1561.36,7163.00
2025-12-05,Credit Card,Koam Taxi Association,22,575.56,92.06,383.00
2025-12-05,Credit Card,Medallion Leasin,134,4355.22,648.90,3069.31
2025-12-05,Credit Card,Patriot Taxi Dba Peace Taxi Associat,1,10.75,1.00,9.25
2025-12-05,Credit Card,Setare Inc,12,320.43,64.68,218.25
2025-12-05,Credit Card,Star North Taxi Management Llc,4,355.60,51.60,238.50
2025-12-05,Credit Card,Sun Taxi,802,30666.52,5210.13,21291.73
2025-12-05,Credit Card,Tac - American United Dispatch,1,37.50,3.00,34.00
2025-12-05,Credit Card,Tac - Yellow Cab Association,3,50.75,6.25,37.50
2025-12-05,Credit Card,Taxicab Insurance Agency  LLC,146,3866.61,680.24,2871.25
2025-12-05,Credit Card,Taxicab Insurance Agency Llc,1091,44025.97,7129.90,31870.12
2025-12-05,Credit Card,Top Cab,10,323.38,81.88,222.00
2025-12-05,Credit Card,Transit Administrative Center Inc,1683,49217.08,7441.88,37900.45
2025-12-05,Credit Card,U Taxicab,17,380.51,90.01,237.00
2025-12-05,Credit Card,Wolley Taxi,44,1321.65,202.79,851.75
2025-12-05,Dispute,Chicago Independents,1,68.98,0.00,68.98
2025-12-05,Dispute,Choice Taxi Association Inc,2,28.50,0.00,6.50
2025-12-05,Dispute,Taxicab Insurance Agency  LLC,1,9.75,0.00,9.75
2025-12-05,Dispute,Transit Administrative Center Inc,13,296.25,0.00,291.25
2025-12-05,Mobile,5 Star Taxi,601,9939.38,847.33,8654.35
2025-12-05,Mobile,Blue Ribbon Taxi Association,548,8293.38,589.03,7386.35
2025-12-05,Mobile,Chicago Independents,951,15546.93,1103.54,13758.24
2025-12-05,Mobile,Chicago Taxicab,4,122.76,21.15,76.61
2025-12-05,Mobile,Choice Taxi Association Inc,210,3229.29,163.33,2955.96
2025-12-05,Mobile,City Service,1282,21345.22,1418.99,19117.19
2025-12-05,Mobile,Flash Cab,1483,23755.91,1717.12,21124.29
2025-12-05,Mobile,Globe Taxi,402,6397.26,584.39,5500.37
2025-12-05,Mobile,Koam Taxi Association,20,279.68,23.42,244.26
2025-12-05,Mobile,Medallion Leasin,272,4239.79,329.96,3729.83
2025-12-05,Mobile,Patriot Taxi Dba Peace Taxi Associat,1,42.84,5.59,32.75
2025-12-05,Mobile,Setare Inc,2,19.50,3.25,15.25
2025-12-05,Mobile,Star North Taxi Management Llc,3,58.37,3.75,48.12
2025-12-05,Mobile,Sun Taxi,1477,24466.15,2040.95,21393.15
2025-12-05,Mobile,Tac - American United Dispatch,20,313.65,48.35,255.30
2025-12-05,Mobile,Tac - Blue Diamond Dispatch,11,198.64,34.20,158.94
2025-12-05,Mobile,Tac - Checker Cab Dispatch,61,870.28,141.05,698.73
2025-12-05,Mobile,Tac - Yellow Cab Association,601,9070.05,1496.50,7272.05
2025-12-05,Mobile,Tac - Yellow Non Color,12,204.10,35.69,162.41
2025-12-05,Mobile,Taxicab Insurance Agency Llc,1694,29327.58,2659.37,25269.46
2025-12-05,Mobile,Top Cab,27,508.33,50.65,431.18
2025-12-05,Mobile,Wolley Taxi,87,1186.42,92.19,1046.73
2025-12-05,No Charge,Chicago Independents,3,10.75,0.00,9.75
2025-12-05,No Charge,Choice Taxi Association Inc,1,8.25,0.00,3.25
2025-12-05,No Charge,Transit Administrative Center Inc,65,1159.50,0.00,1068.50
2025-12-05,Prcard,5 Star Taxi,141,3621.96,3.21,3616.75
2025-12-05,Prcard,Blue Ribbon Taxi Association,62,1621.99,6.49,1614.50
2025-12-05,Prcard,Chicago Independents,41,789.57,0.07,788.50
2025-12-05,Prcard,Choice Taxi Association Inc,3,23.75,0.00,23.75
2025-12-05,Prcard,City Service,114,2938.82,0.07,2937.75
2025-12-05,Prcard,Flash Cab,924,22352.75,72.99,22250.75
2025-12-05,Prcard,Globe Taxi,20,438.82,0.07,438.75
2025-12-05,Prcard,Koam Taxi Association,5,94.25,0.00,94.25
2025-12-05,Prcard,Medallion Leasin,11,180.10,3.35,174.75
2025-12-05,Prcard,Sun Taxi,65,1134.91,8.91,1113.00
2025-12-05,Prcard,Tac - Yellow Cab Association,4,72.00,0.00,72.00
2025-12-05,Prcard,Taxicab Insurance Agency Llc,115,1900.39,6.89,1890.50
2025-12-05,Prcard,Top Cab,1,27.00,0.00,27.00
2025-12-05,Prcard,Wolley Taxi,6,78.50,3.00,75.50
2025-12-05,Unknown,3556 - 36214 RC Andrews Cab,2,74.00,0.00,74.00
2025-12-05,Unknown,5167 - 71969 5167 Taxi Inc,3,68.00,0.00,68.00
2025-12-05,Unknown,Chicago City Taxi Association,7,142.75,0.00,142.75
2025-12-05,Unknown,Choice Taxi Association Inc,7,209.25,0.00,206.25
2025-12-05,Unknown,Taxicab Insurance Agency  LLC,3,66.50,0.00,66.50
2025-12-05,Unknown,Transit Administrative Center Inc,460,11507.75,0.00,11392.25
2025-12-06,Cash,2733 - 74600 Benny Jona,5,143.00,0.00,123.00
2025-12-06,Cash,312 Medallion Management Corp,11,91.25,0.00,85.75
2025-12-06,Cash,4053 - 40193 Adwar H. Nikola,5,29.25,0.00,17.25
2025-12-06,Cash,5 Star Taxi,170,3301.90,0.00,2878.75
2025-12-06,Cash,5167 - 71969 5167 Taxi Inc,4,63.75,0.00,53.25
2025-12-06,Cash,Blue Ribbon Taxi Association,94,2036.50,0.00,1910.50
2025-12-06,Cash,Chicago City Taxi Association,55,755.00,0.00,707.50
2025-12-06,Cash,Chicago Independents,180,3456.61,0.00,3031.00
2025-12-06,Cash,Chicago Taxicab,5,76.25,0.00,76.25
2025-12-06,Cash,Choice Taxi Association Inc,53,839.76,0.00,654.26
2025-12-06,Cash,City Service,238,4232.85,0.00,3770.50
2025-12-06,Cash,Flash Cab,776,20968.24,0.00,20551.74
2025-12-06,Cash,Globe Taxi,98,1808.00,0.00,1540.50
2025-12-06,Cash,Koam Taxi Association,2,12.50,0.00,12.50
2025-12-06,Cash,Medallion Leasin,63,931.50,0.00,788.00
2025-12-06,Cash,Patriot Taxi Dba Peace Taxi Associat,6,59.50,0.00,57.00
2025-12-06,Cash,Setare Inc,6,41.00,0.00,36.50
2025-12-06,Cash,Star North Taxi Management Llc,2,56.50,0.00,51.50
2025-12-06,Cash,Sun Taxi,283,4545.15,0.00,4063.15
2025-12-06,Cash,Tac - American United Dispatch,13,7590.75,0.00,7590.25
2025-12-06,Cash,Tac - Blue Diamond Dispatch,5,21.00,0.00,21.00
2025-12-06,Cash,Tac - Checker Cab Dispatch,16,265.25,0.00,265.25
2025-12-06,Cash,Tac - Yellow Cab Association,183,2005.04,0.00,2000.04
2025-12-06,Cash,Tac - Yellow Non Color,3,28.25,0.00,28.25
2025-12-06,Cash,Taxicab Insurance Agency  LLC,63,1228.74,0.00,1106.94
2025-12-06,Cash,Taxicab Insurance Agency Llc,314,6404.71,0.00,5441.50
2025-12-06,Cash,Top Cab,5,190.55,0.00,164.25
2025-12-06,Cash,Transit Administrative Center Inc,639,9748.99,0.00,8694.99
2025-12-06,Cash,Wolley Taxi,28,520.25,0.00,458.75
2025-12-06,Credit Card,2733 - 74600 Benny Jona,1,77.00,15.00,57.00
2025-12-06,Credit Card,312 Medallion Management Corp,14,330.80,65.05,232.75
2025-12-06,Credit Card,4623 - 27290 Jay Kim,1,58.65,7.65,47.00
2025-12-06,Credit Card,5 Star Taxi,217,8668.27,1295.77,6493.10
2025-12-06,Credit Card,Blue Ribbon Taxi Association,129,3840.19,605.94,2705.75
2025-12-06,Credit Card,Chicago City Taxi Association,37,1195.70,185.95,895.25
2025-12-06,Credit Card,Chicago Independents,247,10209.71,1637.00,7351.73
2025-12-06,Credit Card,Chicago Taxicab,13,475.03,66.28,364.75
2025-12-06,Credit Card,Choice Taxi Association Inc,88,2888.34,454.84,1981.25
2025-12-06,Credit Card,City Service,342,13203.17,1941.72,9335.95
2025-12-06,Credit Card,Flash Cab,429,12900.00,1886.95,9632.55
2025-12-06,Credit Card,Globe Taxi,109,4422.50,635.01,3147.59
2025-12-06,Credit Card,Koam Taxi Association,4,47.50,12.00,32.50
2025-12-06,Credit Card,Medallion Leasin,86,3037.80,430.86,2112.75
2025-12-06,Credit Card,Patriot Taxi Dba Peace Taxi Associat,3,66.50,12.00,49.00
2025-12-06,Credit Card,Setare Inc,11,252.01,49.51,170.00
2025-12-06,Credit Card,Star North Taxi Management Llc,2,162.55,30.80,116.25
